X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,Y (output)
34,11.31,3.6,3.2,3,11.02,575,3825,6624,0.57,112.5,225,410,117
37,11.23,3,2.5,3,11.35,199,750,1492.5,0.5,20.27,40.54,450,100
23,12,3.2,3,3,8.84,276,1750,2649.6,0.66,76.08,152.16,350,100
36,6,3,3,3,10.20,216,1025,1944,0.52,28.47,56.94,420,110
36,11.30,3.6,3.2,3,11.42,513,3225,5910,0.53,89.58,179.16,150,119
19,12,4,3,3,8.20,228,1250,2736,0.45,65.78,131.56,330,125
34,11.3,3.2,2.5,3,13,220,1050,1737,0.6,30.88,30.88,350,121
54,9,3,3,3,14.4,486,2325,4374,0.53,43.05,86.1,200,116
21,25,4,3.5,3,14.4,525,3300,7350,0.44,157.14,314.28,340,135
23,20,3.6,3.2,3,14.4,460,3150,5299.2,0.59,136.95,273.9,380,100
20,20,3.6,3.2,3,14.4,400,2500,4608,0.54,125,250,300,120
53,15,3.6,3.2,3,14.4,795,4950,9158.4,0.54,93.39,186.78,400,106
45,11.4,3.5,3,3,14.4,426,2625,4473,0.58,58.33,116.66,280,128
24,8,3.5,3,3,16,192,1250,2016,0.62,52.08,104.16,230,131
9,5,2.8,2.5,3,17,45,125,315,0.39,13.88,13.88,235,131
18,18.5,3.6,3.2,3,9.3,333,2175,3836,0.56,120.84,241.68,360,128
59,11.35,3,3,3,15.9,593,2264,5337,0.42,38.88,77.76,370,120
40,11.27,3,3,3,12.1,354,1700,3186,0.53,42.5,85,360,116
47,11.28,3.25,2.75,3,13.46,375,2375,4048,0.58,50,100,380,123
14,11.29,3.6,3.2,3,7.02,380,2100,3064.32,0.68,150,300,395,118
25,11.28,3.5,3,3,9.16,238,1350,2499,0.54,54,54,280,122
17,15,3,3,4,8.40,255,1335.3,2295,0.58,78.42,78.42,320,120
30,9,3.5,3,3,9.70,270,1575,2835,0.55,52.5,105,370,106
68,25,4,3.2,3,9.55,1700,13386.67,21760,0.61,196.86,196.86,470,106
20,5,3,2.5,3,8.76,100,463.33,750,0.61,23.16,46.33,450,105
32,18,4,3.5,3,9.11,576,3250,8064,0.4,101.56,101.56,410,104
49,11.37,2,2,3,9.10,336,1125,1344,0.83,22.95,45.9,360,106
32,11.30,3.3,3.1,3,52.7,432,2375,4419.36,0.53,74.21,148.43,390,100
25,11.31,3.5,3,3,45.8,287.5,1350,3018.75,0.44,54,108,440,106
20,11.32,3.5,3,3,40.8,240,1250,2520,0.49,62.5,125,420,106
20,11.31,3.5,3,3,40.8,233.5,1250,2451.75,0.5,62.5,125,480,106
13,11.32,4,3.5,3,34.8,325,1813.18,4550,0.39,139.52,270.05,600,106
37,11.31,3,2.8,3,57.1,222,950,1864.8,0.5,25.67,51.34,370,120
46,11.30,3.8,3.4,3,13.5,656,3700,8475.52,0.43,80.93,160.86,350,116
41,11.28,3.6,3.2,3,12.4,820,5850,9446.4,0.61,142.68,285.36,390,124
60,11.28,3,3,3,16.1,436,2211.12,3924,0.56,36.83,73.7,410,118
33,6,3.2,2.8,2,9.4,198,925,1774.08,0.52,28.03,56.06,460,125
22,9,3,3,3,8.0,198,1250,2079,0.6,56.81,113.62,440,125
27,12,3.5,3,3,9.7,324,1850,3402,0.53,68.51,137.02,570,126
46,7,3,2.5,3,12.3,322,1500,2415,0.62,32.6,65.2,350,106
36,11,3,3,3,11.2,396,2050,3564,0.57,56.94,113.88,385,106
28,11.35,2.5,3,3,11.2,199.5,1050,1676.25,0.62,37.5,75,410,106
33,11.28,3.1,3.1,3,11.2,495,2500,4756.95,0.5,75.75,151.51,420,121
18,11.29,3.5,3,3,11.2,216,1150,2268,0.5,63.88,63.88,430,127
38,11.30,3.5,3,3,11.2,424,2675,4452,0.6,70.39,140.78,320,124
33,11.29,3.2,2.8,3,11.2,391,2575,3503.36,0.73,78.03,156.06,340,116
42,11.30,3,2.8,3,11.2,294,1625,2469.6,0.65,38.69,77.38,380,106
36,11.29,3,2.8,3,11.2,270,1425,2268,0.62,39.58,79.16,310,120
40,11.28,4,3,3,11.2,896,6250,10752,0.58,156.25,312.5,320,126
50,7.5,3,2.8,3,11.2,375,1900,3150,0.6,38,76,360,116
8,5.5,3.5,3,2.5,11.2,44,200,462,0.43,25,50,350,119
47,7.5,3,2.8,2.5,11.2,352.5,1950,2961,0.65,41.48,82.96,340,121
44,20,4,3,3,11.2,880,6375,10560,0.6,144.88,144.88,360,120
27,9,3.5,3,3,11.2,243,1500,2551,0.58,55.55,111,280,125
36,11.34,2.8,2.5,2.5,11.2,197.1,1050,1379.7,0.76,29.16,58.33,410,120
62,7,3.2,2.8,2.7,15.54,434,2250,3888.64,0.57,36.29,72.5,390,106
59,7,3,2.8,3,16,413,2275,3469.2,0.65,38.55,77.1,340,106
56,7,3,2.8,2.6,14.28,392,2183.34,3292.8,0.66,38.98,77.96,380,116
8,3,2,2,2.5,3.5,24,41.66,96,0.43,5.2,10.4,450,128
59,4.5,2.5,2,2.5,14.1,265.5,900,1327.5,0.67,15.25,30.5,360,134
42,11.30,3.5,3,3,12.6,556,3575,5838,0.61,85.11,170.22,430,120
49,9,3,3,3,13.4,441,2650,3969,0.66,54.08,108.16,290,123
45,14,3.3,3.1,3,13.7,630,4100,6444.9,0.63,91.11,182.22,410,116
123,10.5,3.5,3,3,28.6,1291.5,7050,13560.75,0.51,57.31,114.62,420,106
41,25,4,3,3,15.2,1025,7500,12300,0.6,182.92,182.92,370,129
92,11.32,3.2,2.8,3,16,844,3825,7562.24,0.54,44.82,89.64,380,112
36,11.32,3.5,3,3,11.4,459,2550,4819.5,0.52,70.83,70.83,360,128
25,16.00,3.3,3.1,3,10.1,400,2525,4092,0.61,101,101,410,106
48,11.33,3.8,3.2,3,13.9,1216,9000,14786.56,0.6,187.5,187.5,440,118
50,11.33,3.6,3.2,3,12,1011.6,5750,11653.63,0.49,115,230,420,129
88,6.50,3,2.8,3,14,572,2925,4804.8,0.6,33.23,66.46,340,125
30,11.32,3,2.8,3,16,207,900,1738.8,0.54,30,60,330,120
42,10.00,3,2.8,3,12.16,420,2325,3528,0.65,55.35,110.71,530,106
24,9.50,3.5,3,2.5,12.16,228,1250,2394,0.52,52,104,380,106
69,9.50,3,2.8,3,13,655.5,3250,5506.2,0.59,47.1,94.2,380,120
81,8.50,3,2.8,3,19.66,688.5,3750,5783.4,0.64,46.29,92.58,360,106
262,11.31,1,0.6,2.5,22,2882,15720,60500,0.25,60,540,290,115
24,11.00,3,3,3,8.8,264,1513.9,2376,0.63,63.07,63.07,205,122
42,11.31,3.3,3.1,2.8,7,651,3325,6659.73,0.49,79.16,158.33,380,106
107,11.31,3,2.8,3,9,779.5,4425,6547.8,0.67,41.35,82.7,310,110
31,6.00,3.3,2.8,2.8,11,186,775,1718.64,0.45,25,50,340,126
34,11.30,3.5,3,3,10.96,381,2050,4000,0.51,60.29,120.5,330,125
28,11.30,3.2,2.5,2.8,13,197.5,991.68,1580,0.62,35.41,70.82,350,124
50,7.00,3.2,3,3,11,350,1925,3360,0.57,38.5,77,360,120
29,11.29,2.8,2.5,3,14,162,500,1134,0.44,17.24,34.48,380,119
56,11.29,3.5,3,3,15.4,698,3900,7329,0.53,69.64,139.28,390,116
70,11.29,3,2.5,3,18.0,480,2500,3600,0.69,35.71,71.42,340,127
37,11.29,3.5,3,3,11.6,417,2600,4378.5,0.59,69.81,139.63,410,120
40,11.29,3.2,2.8,3,12.1,264,1375,2365.44,0.58,34.37,68.75,310,123
18,11.29,3,3,3,7.7,168,925,1512,0.61,51.38,102.76,660,123
61,20.50,3.5,3.3,3,18.3,1250.5,7775,14443.275,0.53,127.45,254.9,410,124
110,11.31,2.8,3.1,3,9,700,4400,6944,0.63,40,80,340,129
18,11.31,3,3,3,7.7,188,900,1692,0.53,50,100,660,129
45,25.00,3.8,3.2,3,16.0,1125,7450,13680,0.54,165.55,331.11,390,130
57,11.33,3.2,2.8,3,15.5,662,3300,5931.52,0.55,57.89,115.78,410,122
90,11.33,3.2,2.8,2.8,9,722,2650,6469.12,0.4,29.44,58.88,280,126
29,11.33,3.8,3.2,3,10.07,675,3550,8208,0.43,122.41,122.41,450,112
29,11.33,2.8,2.8,2.5,9.69,218,975,1764,0.55,33.62,67.24,440,118
27,10.00,3.5,3,3,9.30,270,1500,2835,0.52,55.55,111.1,260,124
16,11.33,3,2.8,3,7.23,128,500,1075.2,0.46,31.25,62.5,460,120
17,5.00,2.8,2.5,3,8,85,300,595,0.5,17.64,35.28,480,116
45,11.32,3.2,2.5,3,13.0,472.5,2735.42,3780,0.72,54.21,108.42,460,109
20,12.00,3.5,3,3,8.3,240,1250,2520,0.49,62.5,125,420,106
20,11.68,3.5,3,3,11,233.5,1250,2451.75,0.5,62.5,125,480,106
13,25.00,4,3.5,3,9.7,325,1813.18,4550,0.39,139.52,270.05,600,106
37,6.00,3,2.8,3,13,222,950,1864.8,0.5,25.67,51.34,370,120
46,14.26,3.8,3.4,3,14.09,656,3700,8475.52,0.43,80.93,160.86,350,116
41,20.00,3.6,3.2,3,13,820,5850,9446.4,0.61,142.68,285.36,390,124
60,7.27,3,3,3,12,436,2211.12,3924,0.56,36.83,73.7,410,118
33,6.00,3.2,2.8,2,11,198,925,1774.08,0.52,28.03,56.06,460,125
22,9.00,3,3,3,8,198,1250,2079,0.6,56.81,113.62,440,125
27,12.00,3.5,3,3,8,324,1850,3402,0.53,68.51,137.02,570,126
46,7.00,3,2.5,3,8,322,1500,2415,0.62,32.6,65.2,350,106
36,11.00,3,3,3,8,396,2050,3564,0.57,56.94,113.88,385,106
28,7.13,3.5,3.5,3,9,199.5,1050,1676.25,0.62,37.5,75,410,106
33,15.00,3.1,3.1,3,11.44,495,2500,4756.95,0.5,75.75,151.51,420,119
18,12.00,3.5,3,3,12,216,1150,2268,0.5,63.88,63.88,430,127
38,11.16,3.5,3,3,11.73,424,2675,4452,0.6,70.39,140.78,320,124
33,11.85,3.2,2.8,3,10.77,391,2575,3503.36,0.73,78.03,156.06,340,116
42,7.00,3,2.8,3,11.56,294,1625,2469.6,0.65,38.69,77.38,380,106
36,7.50,3,2.8,3,12,270,1425,2268,0.62,39.58,79.16,310,120
40,22.40,4,3,3,14.48,896,6250,10752,0.58,156.25,312.5,320,126
50,7.50,3,2.8,3,14.48,375,1900,3150,0.6,38,76,360,116
8,5.50,3.5,3,2.5,14.48,44,200,462,0.43,25,50,350,117
47,7.50,3,2.8,2.5,14.48,352.5,1950,2961,0.65,41.48,82.96,340,119
44,20.00,4,3,3,14.48,880,6375,10560,0.6,144.88,144.88,360,120
27,9.00,3.5,3,3,14.48,243,1500,2551,0.58,55.55,111,280,125
36,5.48,2.8,2.5,2.5,14.48,197.1,1050,1379.7,0.76,29.16,58.33,410,120
62,7.00,3.2,2.8,2.7,14.48,434,2250,3888.64,0.57,36.29,72.5,390,106
59,7.00,3,2.8,3,14.48,413,2275,3469.2,0.65,38.55,77.1,340,106
56,7.00,3,2.8,2.6,14.48,392,2183.34,3292.8,0.66,38.98,77.96,380,116
8,3.00,2,2,2.5,16,24,41.66,96,0.43,5.2,10.4,450,124
59,4.50,2.5,2,2.5,17,265.5,900,1327.5,0.67,15.25,30.5,360,134
42,13.24,3.5,3,3,18,556,3575,5838,0.61,85.11,170.22,430,120
49,9.00,3,3,3,19,441,2650,3969,0.66,54.08,108.16,290,123
45,14.00,3.3,3.1,3,13.68,630,4100,6444.9,0.63,91.11,182.22,410,116
123,10.50,3.5,3,3,14,1291.5,7050,13560.75,0.51,57.31,114.62,420,106
41,25.00,4,3,3,15,1025,7500,12300,0.6,182.92,182.92,370,129
92,9.17,3.2,2.8,3,22.03,844,3825,7562.24,0.54,44.82,89.64,380,112
36,12.75,3.5,3,3,11.65,459,2550,4819.5,0.52,70.83,70.83,360,128
25,16.00,3.3,3.1,3,10.08,400,2525,4092,0.61,101,101,410,106
48,25.33,3.8,3.2,3,16.67,1216,9000,14786.56,0.6,187.5,187.5,440,118
50,20.23,3.6,3.2,3,16.01,1011.6,5750,11653.63,0.49,115,230,420,129
88,6.50,3,2.8,3,18,572,2925,4804.8,0.6,33.23,66.46,340,125
30,6.90,3,2.8,3,19,207,900,1738.8,0.54,30,60,330,120
42,10.00,3,2.8,3,20,420,2325,3528,0.65,55.35,110.71,530,106
24,9.50,3.5,3,2.5,21,228,1250,2394,0.52,52,104,380,106
69,9.50,3,2.8,3,17.46,655.5,3250,5506.2,0.59,47.1,94.2,380,120
81,8.50,3,2.8,3,18,688.5,3750,5783.4,0.64,46.29,92.58,360,106
262,11.00,1,0.6,2.5,19,2882,15720,60500,0.25,60,540,290,117
24,11.00,3,3,3,8.8,264,1513.9,2376,0.63,63.07,63.07,205,122
42,15.50,3.3,3.1,2.8,8.8,651,3325,6659.73,0.49,79.16,158.33,380,106
107,7.29,3,2.8,3,8.8,779.5,4425,6547.8,0.67,41.35,82.7,310,110
31,6.00,3.3,2.8,2.8,8.8,186,775,1718.64,0.45,25,50,340,126
34,11.21,3.5,3,3,8.8,381,2050,4000,0.51,60.29,120.5,350,125
28,7.05,3.2,2.5,2.8,10,197.5,991.68,1580,0.62,35.41,70.82,360,124
50,7.00,3.2,3,3,9,350,1925,3360,0.57,38.5,77,370,121
29,5.59,2.8,2.5,3,11,162,500,1134,0.44,17.24,34.48,380,118
56,12.46,3.5,3,3,12,698,3900,7329,0.53,69.64,139.28,390,116
70,6.86,3,2.5,3,17.1,480,2500,3600,0.69,35.71,71.42,340,127
37,11.27,3.5,3,3,11.6,417,2600,4378.5,0.59,69.81,139.63,410,120
40,6.60,3.2,2.8,3,11.1,264,1375,2365.44,0.58,34.37,68.75,310,123
18,9.33,3,3,3,7.27,168,925,1512,0.61,51.38,102.76,660,123
61,20.50,3.5,3.3,3,18.26,1250.5,7775,14443.275,0.53,127.45,254.9,410,124
110,6.36,2.8,3.1,3,25.05,700,4400,6944,0.63,40,80,340,129
18,10.44,3,3,3,7.49,188,900,1692,0.53,50,100,660,NILL
45,25.00,3.8,3.2,3,16.00,1125,7450,13680,0.54,165.55,331.11,390,130
57,11.61,3.2,2.8,3,15.52,662,3300,5931.52,0.55,57.89,115.78,410,122
90,8.02,3.2,2.8,2.8,21.36,722,2650,6469.12,0.4,29.44,58.88,280,126
29,23.28,3.8,3.2,3,12.46,675,3550,8208,0.43,122.41,122.41,450,112
29,7.52,3,3,2.5,NILL,218,975,1764,0.55,33.62,67.24,440,118
27,10.00,3.5,3,3,9.3,270,1500,2835,0.52,55.55,111.1,260,124
28,14.00,3.5,3,3,9.3,392,3300.7,4116,0.45,66.96,133.92,270,123
40,11.30,3,3,2.5,9.3,263.5,3355.7,2371.5,0.52,31.25,62.5,280,124
35,19.00,4,3,3,9.3,665,3410.68,7890,0.53,122.85,245.7,290,125
75,8.00,3,3,3,9.3,600,3465.66,5400,0.55,40,80,119,131
33,11.30,3,3,3,9.3,393,3520.65,3537,0.6,64.39,128.78,1.99,142
39,5.00,3,3,3,9.3,195,3575.64,1755,0.37,16.66,33.33,1.21,153
46,7.60,3.5,3,3,9.3,349.6,3630.63,3915.52,0.52,45.1,90.2,0.99,161
52,11.29,3,3,3,9.3,387,3685.61,3483,0.55,37.01,74.03,0.889,174
30,11.29,3,3,3,9.3,310,3740.60,2790,0.56,52.5,105,3.3,184
45,9.00,3,2.5,3,9.3,405,3795.59,3075.5,0.57,38.88,77.77,2.16,196
19,12.00,3.5,3,3,9.3,228,3850.57,2394,0.69,88.15,176.3,1.14,121
30,11.00,3,3,3,9.3,330,3905.56,2970,0.63,62.5,125,1.78,132
18,8.00,3,2.5,3,9.3,144,3960.55,1080,0.69,41.66,83.22,1.65,143
41,11.29,3,3,3,9.3,360.5,4015.54,3244.5,0.67,53.65,107.3,8.26,154
44,6.00,3,2.6,3,9.3,264,4070.52,2059.2,0.6,28.4,56.8,8.26,165
61,11.28,3.1,2.8,3,9.3,625,4125.51,5425,0.64,57.37,114.75,9.4,176
36,19.00,3.6,3.2,3,9.3,684,4180.50,7879.68,0.68,150,300,7.11,187
22,24.00,4,3.3,3,9.3,528,4235.49,6969.6,0.63,200,400,5.46,198
30,9.00,3.5,3,3,9.3,270,4290.47,2835,0.59,56.66,113.33,2.03,128
54,14.00,3.5,3,3,15.5,756,4345.46,7938,0.5,75,150,2.41,137
30,20.00,3.6,3.2,3,15.5,600,4400.45,6912,0.67,156.66,313.32,4.06,146
90,11.32,4.2,3.2,3,15.5,1815,4455.44,24393,0.52,142.77,285.55,7.87,155
51,11.32,3.2,3,3,15.5,702,4455.44,6739.2,0.46,61.76,123.52,8.51,164
35,11.32,3.6,3.2,3,15.5,490,4455.44,5644.8,0.51,75,150,1.52,173
61,11.32,3.6,3.2,3,15.5,774,4455.44,8916.48,0.5,74.18,148.36,13.3,182
40,11.32,3.6,3.2,3,16.0,532,4455.44,6128.64,0.57,87.5,175,7.75,191
38,11.32,3.6,3.2,3,17.0,805,4455.44,9273.6,0.57,140.13,280.26,6.35,209
25,11.32,3.8,3.3,3,18.0,674,4455.44,8451.96,0.59,205,410,7.11,128
54,11.32,3,2.5,3,19.0,472,4455.44,3540,0.64,42.12,84.25,NA,137
21,11.32,3,3,2.8,8.2,95.5,4455.44,859.5,0.49,20.23,40.47,NA,146
43,11.32,3,2.8,2.8,8.2,233,4455.44,1957.2,0.35,16.27,32.55,NA,155
34,9.00,3,3,3,8.2,306,4455.44,2754,0.56,45.9,91.8,1.14,164
23,8.00,3.5,3,3,8.2,184,4455.44,1932,0.45,38.04,76.08,1.02,173
20,15.00,3.6,3.2,3,8.2,300,4455.44,3456,0.54,93.75,187.5,1.52,182
16,11.31,2.5,2.5,2.8,8.2,64,4455.44,400,0.37,9.41,18.82,3.18,191
131,11.31,3.2,2.8,3,11,826,4455.44,5465,0.53,22.13,44.27,1.14,185
33,11.31,3.8,3.2,3,12,714714.78,4455.44,8691.72,0.63,166.66,166.66,7.49,196
27,7.50,3.5,3,3,13,202.5,4455.44,2126.25,0.52,41.66,83.32,0.762,187
87,11.31,3.6,3.2,3,14,1312.5,4455.44,15120,0.5,87.35,174.7,5.08,178
47,11.31,3.75,3.25,3,12,586,4455.44,7141.8,0.48,73.4,146.8,1.27,169
20,15.00,3.75,3.25,3,12,300,4455.44,3656.25,0.49,90,180,1.27,151
21,15.00,3.6,3.2,3,12,315,4455.44,3402,0.63,102.34,204.76,0.508,142
31,5.00,2.8,2.5,2.8,12,155,4455.44,1085,0.57,20.16,40.32,3.43,133
58,11.31,3,3,3,12,506.9,4455.44,4562.1,0.47,37.5,75,5.21,124
33,11.31,3.6,3.2,3,12,685,4455.44,7891.2,0.55,132.57,265.14,6.35,195
53,11.31,3.5,3,3,12.14,782,4455.44,8211,0.6,94.34,188.68,3.81,186
43,11.31,3.6,3.2,3,12.156,628,4455.44,7234.56,0.49,83.72,167.44,2.54,177
53,11.31,3.6,3.2,3,12.463,1149.04,4455.44,13236.94,0.54,136.32,272.64,7.75,168
44,11.31,3.5,3,2.8,9,306,4455.44,3213,0.52,38.63,77.27,3.56,159
19,10.00,4,4,3,8,190,4455.44,2280,0.48,58.38,116.76,7.75,141
27,11.31,3.5,3,3,8,259.5,6050.07,2724.75,0.46,47.22,94.44,1.78,132
43,11.31,3,2.5,3,8,228.5,6050.07,1713.75,0.53,21.51,43.02,0.635,123
38,8.00,3,2.5,3,8,304,6050.07,2280,0.61,36.84,73.68,4.7,197
14,11.30,3.5,3,3,8,132,6050.07,1386,0.54,53.37,53.37,5.6,192
23,15.00,3.2,3,3,8,345,6050.07,3312,0.68,98.91,197.82,4.3,189
30,11.31,3.5,3,3,9.123,276,6050.07,2898,0.55,53.33,106.6,2.79,182
40,24.50,3.8,3,3,9.246,980,6379.99,11172,0.59,167.5,167.5,5.08,171
34,11.32,3.6,3.2,3,10.146,588,6379.99,6773.76,0.63,125.73,251.46,5.72,168
34,11.32,3.6,3.2,3,10.699,575,6379.99,6624,0.57,112.5,225,3.18,162
37,11.32,3,2.5,3,11.36,199,6379.99,1492.5,0.5,20.27,40.54,0.635,158
23,12.00,3.2,3,3,11.36,276,6379.99,2649.6,0.66,76.08,152.16,3.18,152
36,6.00,3,3,3,11.36,216,6379.99,1944,0.52,28.47,56.94,1.4,150
36,11.32,3.6,3.2,3,11.36,513,6709.92,5910,0.53,89.58,179.16,27.4,148
19,12.00,4,3,3,11.36,228,6709.92,2736,0.45,65.78,131.56,3.18,143
34,11.32,3.2,2.5,3,11.36,220,6709.92,1737,0.6,30.88,30.88,1.14,141
54,9.00,3,3,3,11.4,486,6874.88,4374,0.53,43.05,86.1,2.79,137
21,25.00,4,3.5,3,12.19,525,6874.88,7350,0.44,157.14,314.28,5.72,134
23,20.00,3.6,3.2,3,13.15,460,6874.88,5299.2,0.59,136.95,273.9,1.27,131
20,20.00,3.6,3.2,3,14.4,400,6874.88,4608,0.54,125,250,3.94,128
53,15.00,3.6,3.2,3,15.56,795,7094.83,9158.4,0.54,93.39,186.78,3.18,125
45,11.36,3.5,3,3,15.56,426,7094.83,4473,0.58,58.33,116.66,9.4,126
24,8.00,3.5,3,3,15.56,192,7094.83,2016,0.62,52.08,104.16,13.7,122
9,5.00,2.8,2.5,3,15.56,45,7094.83,315,0.39,13.88,13.88,13.7,120
